county_name,crop_name,total_households
Mombasa,Coconut,1688
Mombasa,"Cashew Nut",602
Kwale,Avocado,1063
Kwale,Citrus,10053
Kwale,Mango,30272
Kwale,Coconut,31954
Kwale,Macadamia,881
Kwale,"Cashew Nut",22803
Kilifi,Citrus,6808
Kilifi,Mango,37519
Kilifi,Coconut,47561
Kilifi,"Cashew Nut",27940
"Tana River",Citrus,1109
"Tana River",Mango,6561
"Tana River",Coconut,2228
"Tana River","Cashew Nut",1691
Lamu,Citrus,2742
Lamu,Mango,7423
Lamu,Coconut,5017
Lamu,Macadamia,189
Lamu,"Cashew Nut",8085
"Taita Taveta",Avocado,7963
"Taita Taveta",Citrus,3284
"Taita Taveta",Mango,7171
"Taita Taveta",Coconut,2504
"Taita Taveta",Macadamia,3650
"Taita Taveta","Cashew Nut",543
Garissa,Mango,1726
Mandera,Mango,2685
Meru,Tea,30404
Meru,Coffee,28195
Meru,Avocado,41746
Meru,Citrus,6255
Meru,Mango,27457
Meru,Macadamia,29545
Meru,"Khat (Miraa)",85023
Tharaka‑Nithi,Tea,7227
Tharaka‑Nithi,Coffee,15792
Tharaka‑Nithi,Avocado,13171
Tharaka‑Nithi,Citrus,1630
Tharaka‑Nithi,Mango,14102
Tharaka‑Nithi,Macadamia,9280
Tharaka‑Nithi,"Khat (Miraa)",8404
Embu,Tea,18664
Embu,Coffee,28996
Embu,Avocado,19355
Embu,Citrus,3581
Embu,Mango,26771
Embu,Macadamia,27488
Embu,"Khat (Miraa)",34900
Kitui,Avocado,12066
Kitui,Citrus,7510
Kitui,Mango,35471
Machakos,Coffee,23525
Machakos,Avocado,45243
Machakos,Citrus,22797
Machakos,Mango,75504
Machakos,Macadamia,6519
Makueni,Coffee,3371
Makueni,Avocado,34107
Makueni,Citrus,27006
Makueni,Mango,70130
Makueni,Macadamia,4293
Nyandarua,Avocado,2892
Nyandarua,Citrus,1580
Nyeri,Tea,23300
Nyeri,Coffee,57983
Nyeri,Avocado,22810
Nyeri,Citrus,2521
Nyeri,Mango,10228
Nyeri,Macadamia,25436
Kirinyaga,Tea,25135
Kirinyaga,Coffee,47835
Kirinyaga,Avocado,19691
Kirinyaga,Citrus,2429
Kirinyaga,Mango,15311
Kirinyaga,Macadamia,28508
Kirinyaga,"Khat (Miraa)",5821
Murang'a,Tea,43819
Murang'a,Coffee,64533
Murang'a,Avocado,52839
Murang'a,Citrus,7210
Murang'a,Mango,38361
Murang'a,Macadamia,35618
Kiambu,Tea,20958
Kiambu,Coffee,31152
Kiambu,Avocado,31392
Kiambu,Citrus,2160
Kiambu,Mango,9855
Kiambu,Macadamia,11748
"West Pokot",Coffee,1026
"West Pokot",Avocado,7535
"West Pokot",Citrus,1173
"West Pokot",Mango,4426
"Trans Nzoia",Tea,2780
"Trans Nzoia",Coffee,4089
"Trans Nzoia",Avocado,26594
"Trans Nzoia",Citrus,1987
"Trans Nzoia",Mango,6721
"Uasin Gishu",Avocado,8430
"Uasin Gishu",Citrus,1376
"Uasin Gishu",Mango,2505
Elgeyo/Marakwet,Tea,751
Elgeyo/Marakwet,Coffee,1390
Elgeyo/Marakwet,Avocado,5224
Elgeyo/Marakwet,Citrus,1632
Elgeyo/Marakwet,Mango,6430
Elgeyo/Marakwet,Macadamia,518
Nandi,Tea,37564
Nandi,Coffee,11044
Nandi,Avocado,29356
Nandi,Citrus,1202
Nandi,Mango,5806
Baringo,Coffee,3069
Baringo,Avocado,12372
Baringo,Citrus,2605
Baringo,Mango,10600
Baringo,Macadamia,1673
Laikipia,Avocado,5273
Laikipia,Citrus,2121
Laikipia,Mango,2103
Laikipia,Macadamia,773
Nakuru,Tea,10041
Nakuru,Avocado,20209
Nakuru,Citrus,4332
Nakuru,Mango,6560
Narok,Avocado,13430
Narok,Citrus,1784
Narok,Mango,2332
Kajiado,Avocado,2994
Kajiado,Mango,2776
Kericho,Tea,55837
Kericho,Coffee,24774
Kericho,Avocado,40748
Kericho,Citrus,2283
Kericho,Mango,5588
Bomet,Tea,50704
Bomet,Coffee,1940
Bomet,Avocado,44903
Bomet,Citrus,3298
Bomet,Mango,3679
Kakamega,Tea,4644
Kakamega,Coffee,2990
Kakamega,Avocado,63886
Kakamega,Citrus,4435
Kakamega,Mango,49075
Kakamega,Macadamia,2292
Vihiga,Tea,11273
Vihiga,Coffee,1717
Vihiga,Avocado,34321
Vihiga,Citrus,1233
Vihiga,Mango,26209
Bungoma,Tea,2047
Bungoma,Coffee,37773
Bungoma,Avocado,73765
Bungoma,Citrus,5268
Bungoma,Mango,54581
Bungoma,Macadamia,2428
Busia,Coffee,1498
Busia,Avocado,27498
Busia,Citrus,3616
Busia,Mango,35530
Busia,Macadamia,1148
Siaya,Avocado,31729
Siaya,Citrus,7350
Siaya,Mango,44660
Siaya,Macadamia,1262
Kisumu,Avocado,19478
Kisumu,Citrus,5265
Kisumu,Mango,28305
"Homa Bay",Tea,1365
"Homa Bay",Coffee,2864
"Homa Bay",Avocado,29880
"Homa Bay",Citrus,7496
"Homa Bay",Mango,34557
"Homa Bay",Macadamia,1554
Migori,Coffee,3864
Migori,Avocado,33338
Migori,Citrus,4444
Migori,Mango,27231
Migori,Macadamia,1196
Kisii,Tea,67394
Kisii,Coffee,53580
Kisii,Avocado,88326
Kisii,Citrus,3850
Kisii,Mango,17144
Nyamira,Tea,62706
Nyamira,Coffee,25936
Nyamira,Avocado,43349
Nyamira,Citrus,2020
Nyamira,Mango,3502
