county_name,female_to_male_ratio
Mombasa,0.98
Kwale,1.04
Kilifi,1.06
"Tana River",0.99
Lamu,0.89
"Taita Taveta",0.97
Garissa,0.83
Wajir,0.88
Mandera,0.99
Marsabit,0.89
Isiolo,0.92
Meru,1.01
Tharaka‑Nithi,1.03
Embu,1.00
Kitui,1.07
Machakos,1.00
Makueni,1.02
Nyandarua,1.03
Nyeri,1.03
Kirinyaga,1.02
Murang'a,1.02
Kiambu,1.04
Turkana,0.94
"West Pokot",1.02
Samburu,0.98
"Trans Nzoia",1.02
"Uasin Gishu",1.00
Elgeyo/Marakwet,1.00
Nandi,1.01
Baringo,0.98
Laikipia,1.00
Nakuru,1.01
Narok,1.00
Kajiado,1.01
Kericho,1.00
Bomet,1.02
Kakamega,1.08
Vihiga,1.08
Bungoma,1.06
Busia,1.10
Siaya,1.11
Kisumu,1.06
"Homa Bay",1.10
Migori,1.08
Kisii,1.09
Nyamira,1.08
Nairobi,1.01
