population_id,county_id,gender,population_count
1,1,Male,610257
2,1,Female,598046
3,1,Intersex,30
4,2,Male,425121
5,2,Female,441681
6,2,Intersex,18
7,3,Male,704089
8,3,Female,749673
9,3,Intersex,25
10,4,Male,158550
11,4,Female,157391
12,4,Intersex,2
13,5,Male,76103
14,5,Female,67813
15,5,Intersex,4
16,6,Male,173337
17,6,Female,167327
18,6,Intersex,7
19,7,Male,458975
20,7,Female,382344
21,7,Intersex,34
22,8,Male,415374
23,8,Female,365840
24,8,Intersex,49
25,9,Male,434976
26,9,Female,432444
27,9,Intersex,37
28,10,Male,243548
29,10,Female,216219
30,10,Intersex,18
31,11,Male,139510
32,11,Female,128483
33,11,Intersex,9
34,12,Male,767698
35,12,Female,777975
36,12,Intersex,41
37,13,Male,193764
38,13,Female,199406
39,13,Intersex,7
40,14,Male,304208
41,14,Female,304367
42,14,Intersex,24
43,15,Male,549003
44,15,Female,587151
45,15,Intersex,33
46,16,Male,710707
47,16,Female,711191
48,16,Intersex,34
49,17,Male,489691
50,17,Female,497942
51,17,Intersex,20
52,18,Male,315022
53,18,Female,323247
54,18,Intersex,20
55,19,Male,374288
56,19,Female,384845
57,19,Intersex,31
58,20,Male,302011
59,20,Female,308369
60,20,Intersex,31
61,21,Male,523940
62,21,Female,532669
63,21,Intersex,31
64,22,Male,1187146
65,22,Female,1230454
66,22,Intersex,135
67,23,Male,478087
68,23,Female,448868
69,23,Intersex,21
70,24,Male,307013
71,24,Female,314213
72,24,Intersex,15
73,25,Male,156774
74,25,Female,153546
75,25,Intersex,7
76,26,Male,489107
77,26,Female,501206
78,26,Intersex,28
79,27,Male,580269
80,27,Female,582889
81,27,Intersex,28
82,28,Male,227317
83,28,Female,227151
84,28,Intersex,12
85,29,Male,441259
86,29,Female,444430
87,29,Intersex,22
88,30,Male,336322
89,30,Female,330428
90,30,Intersex,13
91,31,Male,259440
92,31,Female,259102
93,31,Intersex,18
94,32,Male,1077272
95,32,Female,1084835
96,32,Intersex,95
97,33,Male,579042
98,33,Female,578805
99,33,Intersex,26
100,34,Male,557098
101,34,Female,560704
102,34,Intersex,38
103,35,Male,450741
104,35,Female,451008
105,35,Intersex,28
106,36,Male,434287
107,36,Female,441379
108,36,Intersex,23
109,37,Male,897133
110,37,Female,970406
111,37,Intersex,40
112,38,Male,283678
113,38,Female,306323
114,38,Intersex,12
115,39,Male,812146
116,39,Female,858389
117,39,Intersex,35
118,40,Male,426252
119,40,Female,467401
120,40,Intersex,28
121,41,Male,471669
122,41,Female,521496
123,41,Intersex,18
124,42,Male,560942
125,42,Female,594609
126,42,Intersex,23
127,43,Male,539560
128,43,Female,592367
129,43,Intersex,23
130,44,Male,536187
131,44,Female,580214
132,44,Intersex,35
133,45,Male,605784
134,45,Female,661038
135,45,Intersex,38
136,46,Male,290907
137,46,Female,314656
138,46,Intersex,13
139,47,Male,2192452
140,47,Female,2204376
141,47,Intersex,245
