county_name,persons_per_household
Mombasa,3.15
Kwale,4.96
Kilifi,4.83
"Tana River",4.61
Lamu,3.74
"Taita Taveta",3.48
Garissa,5.91
Wajir,6.06
Mandera,6.85
Marsabit,5.77
Isiolo,4.61
Meru,3.60
Tharaka‑Nithi,3.56
Embu,3.31
Kitui,4.30
Machakos,3.51
Makueni,3.99
Nyandarua,3.54
Nyeri,3.03
Kirinyaga,2.97
Murang'a,3.31
Kiambu,3.02
Turkana,5.61
"West Pokot",5.33
Samburu,4.67
"Trans Nzoia",4.40
"Uasin Gishu",3.78
Elgeyo/Marakwet,4.54
Nandi,4.43
Baringo,4.65
Laikipia,3.44
Nakuru,3.48
Narok,4.77
Kajiado,3.50
Kericho,4.35
Bomet,4.65
Kakamega,4.30
Vihiga,4.10
Bungoma,4.64
Busia,4.48
Siaya,3.95
Kisumu,3.81
"Homa Bay",4.30
Migori,4.62
Kisii,4.09
Nyamira,4.00
Nairobi,2.88
