county_name,gender,total_population
Mombasa,Male,610257
Mombasa,Female,598046
Mombasa,Intersex,30
Kwale,Male,425121
Kwale,Female,441681
Kwale,Intersex,18
Kilifi,Male,704089
Kilifi,Female,749673
Kilifi,Intersex,25
"Tana River",Male,158550
"Tana River",Female,157391
"Tana River",Intersex,2
Lamu,Male,76103
Lamu,Female,67813
Lamu,Intersex,4
"Taita Taveta",Male,173337
"Taita Taveta",Female,167327
"Taita Taveta",Intersex,7
Garissa,Male,458975
Garissa,Female,382344
Garissa,Intersex,34
Wajir,Male,415374
Wajir,Female,365840
Wajir,Intersex,49
Mandera,Male,434976
Mandera,Female,432444
Mandera,Intersex,37
Marsabit,Male,243548
Marsabit,Female,216219
Marsabit,Intersex,18
Isiolo,Male,139510
Isiolo,Female,128483
Isiolo,Intersex,9
Meru,Male,767698
Meru,Female,777975
Meru,Intersex,41
Tharaka‑Nithi,Male,193764
Tharaka‑Nithi,Female,199406
Tharaka‑Nithi,Intersex,7
Embu,Male,304208
Embu,Female,304367
Embu,Intersex,24
Kitui,Male,549003
Kitui,Female,587151
Kitui,Intersex,33
Machakos,Male,710707
Machakos,Female,711191
Machakos,Intersex,34
Makueni,Male,489691
Makueni,Female,497942
Makueni,Intersex,20
Nyandarua,Male,315022
Nyandarua,Female,323247
Nyandarua,Intersex,20
Nyeri,Male,374288
Nyeri,Female,384845
Nyeri,Intersex,31
Kirinyaga,Male,302011
Kirinyaga,Female,308369
Kirinyaga,Intersex,31
Murang'a,Male,523940
Murang'a,Female,532669
Murang'a,Intersex,31
Kiambu,Male,1187146
Kiambu,Female,1230454
Kiambu,Intersex,135
Turkana,Male,478087
Turkana,Female,448868
Turkana,Intersex,21
"West Pokot",Male,307013
"West Pokot",Female,314213
"West Pokot",Intersex,15
Samburu,Male,156774
Samburu,Female,153546
Samburu,Intersex,7
"Trans Nzoia",Male,489107
"Trans Nzoia",Female,501206
"Trans Nzoia",Intersex,28
"Uasin Gishu",Male,580269
"Uasin Gishu",Female,582889
"Uasin Gishu",Intersex,28
Elgeyo/Marakwet,Male,227317
Elgeyo/Marakwet,Female,227151
Elgeyo/Marakwet,Intersex,12
Nandi,Male,441259
Nandi,Female,444430
Nandi,Intersex,22
Baringo,Male,336322
Baringo,Female,330428
Baringo,Intersex,13
Laikipia,Male,259440
Laikipia,Female,259102
Laikipia,Intersex,18
Nakuru,Male,1077272
Nakuru,Female,1084835
Nakuru,Intersex,95
Narok,Male,579042
Narok,Female,578805
Narok,Intersex,26
Kajiado,Male,557098
Kajiado,Female,560704
Kajiado,Intersex,38
Kericho,Male,450741
Kericho,Female,451008
Kericho,Intersex,28
Bomet,Male,434287
Bomet,Female,441379
Bomet,Intersex,23
Kakamega,Male,897133
Kakamega,Female,970406
Kakamega,Intersex,40
Vihiga,Male,283678
Vihiga,Female,306323
Vihiga,Intersex,12
Bungoma,Male,812146
Bungoma,Female,858389
Bungoma,Intersex,35
Busia,Male,426252
Busia,Female,467401
Busia,Intersex,28
Siaya,Male,471669
Siaya,Female,521496
Siaya,Intersex,18
Kisumu,Male,560942
Kisumu,Female,594609
Kisumu,Intersex,23
"Homa Bay",Male,539560
"Homa Bay",Female,592367
"Homa Bay",Intersex,23
Migori,Male,536187
Migori,Female,580214
Migori,Intersex,35
Kisii,Male,605784
Kisii,Female,661038
Kisii,Intersex,38
Nyamira,Male,290907
Nyamira,Female,314656
Nyamira,Intersex,13
Nairobi,Male,2192452
Nairobi,Female,2204376
Nairobi,Intersex,245
