county_name,crop_name,total_households
Mombasa,Coconut,1688
Kwale,Coconut,31954
Kilifi,Coconut,47561
"Tana River",Mango,6561
Lamu,"Cashew Nut",8085
"Taita Taveta",Avocado,7963
Garissa,Mango,1726
Mandera,Mango,2685
Meru,"Khat (Miraa)",85023
Tharaka‑Nithi,Coffee,15792
Embu,"Khat (Miraa)",34900
Kitui,Mango,35471
Machakos,Mango,75504
Makueni,Mango,70130
Nyandarua,Avocado,2892
Nyeri,Coffee,57983
Kirinyaga,Coffee,47835
Murang'a,Coffee,64533
Kiambu,Avocado,31392
"West Pokot",Avocado,7535
"Trans Nzoia",Avocado,26594
"Uasin Gishu",Avocado,8430
Elgeyo/Marakwet,Mango,6430
Nandi,Tea,37564
Baringo,Avocado,12372
Laikipia,Avocado,5273
Nakuru,Avocado,20209
Narok,Avocado,13430
Kajiado,Avocado,2994
Kericho,Tea,55837
Bomet,Tea,50704
Kakamega,Avocado,63886
Vihiga,Avocado,34321
Bungoma,Avocado,73765
Busia,Mango,35530
Siaya,Mango,44660
Kisumu,Mango,28305
"Homa Bay",Mango,34557
Migori,Avocado,33338
Kisii,Avocado,88326
Nyamira,Tea,62706
