County,crop_name,crop_count
MOMBASA,Farming,12497
MOMBASA,Tea,0
MOMBASA,Coffee,0
MOMBASA,Avocado,0
MOMBASA,Citrus,0
MOMBASA,Mango,0
MOMBASA,Coconut,1688
MOMBASA,Macadamia,0
MOMBASA,Cashew Nut,602
MOMBASA,Khat (Miraa),0
KWALE,Farming,108074
KWALE,Tea,0
KWALE,Coffee,0
KWALE,Avocado,1063
KWALE,Citrus,10053
KWALE,Mango,30272
KWALE,Coconut,31954
KWALE,Macadamia,881
KWALE,Cashew Nut,22803
KWALE,Khat (Miraa),0
KILIFI,Farming,161188
KILIFI,Tea,0
KILIFI,Coffee,0
KILIFI,Avocado,0
KILIFI,Citrus,6808
KILIFI,Mango,37519
KILIFI,Coconut,47561
KILIFI,Macadamia,0
KILIFI,Cashew Nut,27940
KILIFI,Khat (Miraa),0
TANA RIVER,Farming,35094
TANA RIVER,Tea,0
TANA RIVER,Coffee,0
TANA RIVER,Avocado,0
TANA RIVER,Citrus,1109
TANA RIVER,Mango,6561
TANA RIVER,Coconut,2228
TANA RIVER,Macadamia,0
TANA RIVER,Cashew Nut,1691
TANA RIVER,Khat (Miraa),0
LAMU,Farming,18678
LAMU,Tea,0
LAMU,Coffee,0
LAMU,Avocado,0
LAMU,Citrus,2742
LAMU,Mango,7423
LAMU,Coconut,5017
LAMU,Macadamia,189
LAMU,Cashew Nut,8085
LAMU,Khat (Miraa),0
TAITA/TAVETA,Farming,56920
TAITA/TAVETA,Tea,0
TAITA/TAVETA,Coffee,0
TAITA/TAVETA,Avocado,7963
TAITA/TAVETA,Citrus,3284
TAITA/TAVETA,Mango,7171
TAITA/TAVETA,Coconut,2504
TAITA/TAVETA,Macadamia,3650
TAITA/TAVETA,Cashew Nut,543
TAITA/TAVETA,Khat (Miraa),0
GARISSA,Farming,47645
GARISSA,Tea,0
GARISSA,Coffee,0
GARISSA,Avocado,0
GARISSA,Citrus,0
GARISSA,Mango,1726
GARISSA,Coconut,0
GARISSA,Macadamia,0
GARISSA,Cashew Nut,0
GARISSA,Khat (Miraa),0
WAJIR,Farming,63433
WAJIR,Tea,0
WAJIR,Coffee,0
WAJIR,Avocado,0
WAJIR,Citrus,0
WAJIR,Mango,0
WAJIR,Coconut,0
WAJIR,Macadamia,0
WAJIR,Cashew Nut,0
WAJIR,Khat (Miraa),0
MANDERA,Farming,62639
MANDERA,Tea,0
MANDERA,Coffee,0
MANDERA,Avocado,0
MANDERA,Citrus,0
MANDERA,Mango,2685
MANDERA,Coconut,0
MANDERA,Macadamia,0
MANDERA,Cashew Nut,0
MANDERA,Khat (Miraa),0
MARSABIT,Farming,39167
MARSABIT,Tea,0
MARSABIT,Coffee,0
MARSABIT,Avocado,0
MARSABIT,Citrus,0
MARSABIT,Mango,0
MARSABIT,Coconut,0
MARSABIT,Macadamia,0
MARSABIT,Cashew Nut,0
MARSABIT,Khat (Miraa),0
ISIOLO,Farming,24271
ISIOLO,Tea,0
ISIOLO,Coffee,0
ISIOLO,Avocado,0
ISIOLO,Citrus,0
ISIOLO,Mango,0
ISIOLO,Coconut,0
ISIOLO,Macadamia,0
ISIOLO,Cashew Nut,0
ISIOLO,Khat (Miraa),0
MERU,Farming,274865
MERU,Tea,30404
MERU,Coffee,28195
MERU,Avocado,41746
MERU,Citrus,6255
MERU,Mango,27457
MERU,Coconut,0
MERU,Macadamia,29545
MERU,Cashew Nut,0
MERU,Khat (Miraa),85023
THARAKA-NITHI,Farming,85767
THARAKA-NITHI,Tea,7227
THARAKA-NITHI,Coffee,15792
THARAKA-NITHI,Avocado,13171
THARAKA-NITHI,Citrus,1630
THARAKA-NITHI,Mango,14102
THARAKA-NITHI,Coconut,0
THARAKA-NITHI,Macadamia,9280
THARAKA-NITHI,Cashew Nut,0
THARAKA-NITHI,Khat (Miraa),8404
EMBU,Farming,130990
EMBU,Tea,18664
EMBU,Coffee,28996
EMBU,Avocado,19355
EMBU,Citrus,3581
EMBU,Mango,26771
EMBU,Coconut,0
EMBU,Macadamia,27488
EMBU,Cashew Nut,0
EMBU,Khat (Miraa),34900
KITUI,Farming,215322
KITUI,Tea,0
KITUI,Coffee,0
KITUI,Avocado,12066
KITUI,Citrus,7510
